timeofday,xjo,kospi,nikkei
12:13:00,0.10665411,0.07750099,0.02540702
12:14:00,0.16562799,0.17090828,0.00306517
12:15:00,0.16448140,0.23633646,0.00237244
12:16:00,0.16809794,0.20005817,0.05948896
12:17:00,0.15500790,0.17123963,0.06545117
12:18:00,0.15247089,0.13681921,0.03172736
12:19:00,0.15077933,0.11638226,-0.06652782
12:20:00,0.15902552,0.12283844,-0.03228406
12:21:00,0.13903714,0.13907391,-0.02613076
12:22:00,0.13400636,0.08629425,-0.04118367
12:23:00,0.12304701,0.07910251,-0.03332623
12:24:00,0.12104609,0.13301784,-0.04387510
12:25:00,0.12062592,0.13562662,-0.04044117
12:26:00,0.12155563,0.08399144,0.01282382
12:27:00,0.12356441,0.13116326,0.01851060
12:28:00,0.10381366,0.21032844,-0.01000596
12:29:00,0.08070782,0.14416871,-0.00629504
12:30:00,0.08509565,0.12660623,0.00083725
12:31:00,0.08002748,0.22606138,-0.01025482
12:32:00,0.08145710,0.12857688,-0.01461838
12:33:00,0.04483833,0.21516564,-0.02828966
12:34:00,0.05498921,0.20217448,-0.02588986
12:35:00,0.03298775,0.22465589,0.09253199
12:36:00,0.04074519,0.19939036,0.08387400
12:37:00,0.06494682,0.23620178,0.07568109
12:38:00,0.07060188,0.23089120,0.08894540
12:39:00,0.06972653,0.21617528,0.05355262
12:40:00,0.06301504,0.14727033,0.08218982
12:41:00,0.04838406,0.11319686,0.09771776
12:42:00,0.02336489,0.12639888,0.09176158
12:43:00,0.01694746,0.14461492,0.09832118
12:44:00,0.04298577,0.14541751,0.08740076
12:45:00,0.04650488,0.14519536,0.12452796
12:46:00,0.03553856,0.02770315,0.15381350
12:47:00,0.02838244,-0.02256272,0.15139337
12:48:00,0.02575884,0.06253971,0.14163324
12:49:00,0.00710130,0.12341304,0.17630813
12:50:00,0.01395093,0.16829966,0.11987417
12:51:00,0.00612617,0.12064178,0.10998559
12:52:00,0.00404480,0.09864513,0.11031405
12:53:00,0.00458077,0.10790226,0.15218796
12:54:00,-0.01496772,0.11818304,0.15200924
12:55:00,-0.02034609,0.13991701,0.14744606
12:56:00,-0.04618568,0.14386646,0.11853856
12:57:00,-0.05252420,0.14463568,0.13235764
12:58:00,-0.03205707,0.18291035,0.17178554
12:59:00,-0.04850748,0.24168683,0.17506398
13:00:00,-0.06671386,0.35007248,0.14617287
13:01:00,-0.06644735,0.35895700,0.13399560
13:02:00,-0.07167641,0.29939107,0.11558829
13:03:00,-0.03572833,0.25192123,0.12718505
13:04:00,-0.02946264,0.24249824,0.12815000
13:05:00,-0.04025258,0.26228931,0.09156488
